,HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K)
2204,2219,Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,Erinaceus,concolor,Eastern European hedgehog,213.0,,35.0,,4.5,1.5,,22.0,,719.0,,7.0,captivity,tiny,acceptable,,,1.9369999999999998,822.7,308.35
2205,2220,Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,Erinaceus,europaeus,Western European hedgehog,253.0,253.0,30.0,42.0,1.5,1.6,,14.7,235.0,750.0,,11.7,captivity,medium,acceptable,,,2.434,1213.5,307.15
2206,2221,Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,Hemiechinus,auritus,Long-eared hedgehog,213.0,,39.0,36.0,4.0,1.0,365.0,10.0,,342.0,,7.6,captivity,small,acceptable,,,0.845,398.5,306.95
2207,2222,Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,Paraechinus,aethiopicus,Desert hedgehog,,,37.0,50.0,3.0,1.0,,8.5,,188.0,,6.3,captivity,small,acceptable,,,0.63,451.5,307.35
2208,2223,Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,Paraechinus,hypomelas,Brandt's hedgehog,,,,61.0,3.2,1.0,,,,292.0,,7.0,captivity,small,acceptable,,,,,
2209,2224,Animalia,Chordata,Mammalia,Hyracoidea,Procaviidae,Dendrohyrax,arboreus,Tree hyrax,365.0,365.0,229.0,152.0,2.0,,,380.0,,3000.0,,13.6,captivity,small,acceptable,,,,,
2210,2225,Animalia,Chordata,Mammalia,Hyracoidea,Procaviidae,Heterohyrax,brucei,Bush hyrax,494.0,494.0,229.0,91.0,1.9,1.0,365.0,225.0,,2456.7,,,unknown,small,low,,,3.872,1604.4,309.85
2211,2226,Animalia,Chordata,Mammalia,Hyracoidea,Procaviidae,Procavia,capensis,Rock hyrax,500.0,500.0,215.0,116.0,3.0,1.0,365.0,205.0,500.0,3600.0,0.0112,14.8,captivity,medium,acceptable,,,4.954,2458.0,310.15
2212,2227,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Brachylagus,idahoensis,Pygmy rabbit,256.0,,27.0,,6.0,2.5,39.0,,,421.3,,,unknown,small,low,,,2.145,432.0,
2213,2228,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Bunolagus,monticularis,Riverine rabbit,,,,,1.0,,,45.0,,1250.0,,,unknown,small,low,,,,,
2214,2229,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,americanus,Snowshoe hare,308.0,411.0,36.0,20.0,3.0,2.6,39.0,61.03,362.0,1600.0,0.0376,,unknown,tiny,low,,,6.707999999999999,1603.4,312.95
2215,2230,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,brachyurus,Japanese hare,,,38.0,,2.1,2.5,,,,2519.0,,13.0,captivity,small,acceptable,,,,,
2216,2231,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed jackrabbit,243.0,,44.0,41.0,1.0,3.7,,84.34,1300.0,4175.0,0.0225,11.8,captivity,tiny,acceptable,,,7.314,2300.0,312.35
2217,2232,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,capensis,Cape hare,228.0,175.0,43.0,33.0,2.6,3.3,39.0,118.4,943.3,2358.0,,,unknown,small,low,,,,,
2218,2233,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,europaeus,European hare,236.0,,42.0,29.0,2.0,3.8,,119.67,390.0,4175.0,0.0191,10.7,captivity,small,acceptable,,,,,311.45
2219,2234,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,timidus,Mountain hare,266.0,,50.0,23.0,2.0,2.1,50.0,107.93,492.0,4175.0,,18.0,wild,medium,acceptable,,,8.443,3014.5,312.85
2220,2235,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,townsendii,White-tailed jackrabbit,333.0,,39.0,27.0,4.3,2.8,,94.32,737.0,3035.5,,,unknown,small,low,,,7.6979999999999995,2523.2,311.35
2221,2236,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,cuniculus,European rabbit,730.0,,30.0,26.0,5.0,4.3,29.0,45.0,214.0,1800.0,0.0228,9.0,unknown,large,questionable,,,7.395,2167.9,312.15
2222,2237,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,audubonii,Audubon's cottontail rabbit,164.0,107.0,29.0,28.0,3.0,5.0,,34.5,,900.0,,7.8,captivity,small,acceptable,,,2.506,686.9,311.45
2223,2238,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,bachmani,Brush rabbit,154.0,,27.0,19.0,3.6,3.2,29.0,28.17,,700.0,,,unknown,small,low,,,,,
2224,2239,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern cottontail,123.0,,30.0,24.0,5.0,3.9,30.0,40.0,118.5,1150.0,0.0243,9.8,captivity,small,acceptable,,,,,
2225,2240,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,nuttallii,Mountain cottontail,121.0,,30.0,34.0,3.6,3.5,,,,760.0,,7.4,captivity,small,acceptable,,,,,
2226,2241,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,palustris,Marsh rabbit,219.0,,34.0,,2.3,6.0,,,,1233.0,,7.6,captivity,small,acceptable,,,,,
2227,2242,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,transitionalis,New England cottontail,120.0,,28.0,16.0,4.8,2.5,,30.0,,902.6,,9.3,captivity,tiny,acceptable,,,,,
2228,2243,Animalia,Chordata,Mammalia,Lagomorpha,Ochotonidae,Ochotona,collaris,Collared pika,365.0,,30.0,,5.0,1.5,,9.0,,129.0,,,unknown,small,low,,,,,
2229,2244,Animalia,Chordata,Mammalia,Lagomorpha,Ochotonidae,Ochotona,hyperborea,Northern pika,,,28.0,,3.0,,,9.6,,120.0,,9.4,captivity,small,acceptable,,,,,
2230,2245,Animalia,Chordata,Mammalia,Lagomorpha,Ochotonidae,Ochotona,princeps,American pika,347.0,,30.0,28.0,3.0,2.2,30.0,9.0,81.1,100.0,0.0376,7.0,captivity,small,acceptable,,,0.932,109.0,313.25
2231,2246,Animalia,Chordata,Mammalia,Lagomorpha,Ochotonidae,Ochotona,pusilla,Steppe pika,31.0,,30.0,22.0,8.0,2.8,,9.0,,262.5,,,unknown,small,low,,,,,
2232,2247,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,brachyrhynchus,Short-nosed elephant shrew,,,,,1.8,5.5,75.0,,,44.3,,,unknown,small,low,,,0.244,45.3,310.65
2233,2248,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,edwardii,Cape elephant shrew,,,,,1.8,,,11.9,,50.0,,,unknown,small,low,,,0.303,49.9,310.75
2234,2249,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,intufi,Long-eared elephant shrew,335.0,183.0,52.0,38.0,1.6,,67.0,10.0,,52.0,,9.3,captivity,small,acceptable,,,0.29,46.5,310.35
2235,2250,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,rozeti,North African elephant shrew,,,76.0,,2.5,2.0,,,,48.0,,7.2,captivity,small,acceptable,,,0.28800000000000003,49.0,310.25
2236,2251,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,rufescens,Rufous elephant shrew,50.0,50.0,61.0,23.0,1.0,5.2,84.0,10.6,29.0,58.0,0.0481,7.9,captivity,small,acceptable,,,0.317,53.0,310.45
2237,2252,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Macroscelides,proboscideus,Short-eared elephant shrew,44.0,,65.0,19.0,1.6,,,7.0,,40.0,,8.7,captivity,medium,acceptable,,,0.292,39.0,309.35
2238,2253,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Petrodromus,tetradactylus,Four-toed elephant shrew,,,,,1.2,2.0,,31.0,,210.0,,,unknown,small,low,,,0.852,208.0,310.65
2239,2254,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Rhynchocyon,chrysopygus,Golden-rumped elephant shrew,38.0,,42.0,15.0,1.0,4.5,81.0,80.0,180.0,540.0,,11.0,captivity,small,acceptable,,,,,
2240,2255,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Rhynchocyon,cirnei,Checkered elephant shrew,,,,,1.9,4.5,,,,370.0,,,unknown,small,low,,,,,
2241,2256,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,gliroides,Monito del monte,730.0,730.0,,,3.0,,365.0,,,24.05,,,unknown,small,low,,,,,308.3
2242,2257,Animalia,Chordata,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,Duck-billed platypus,548.0,548.0,17.0,106.0,2.0,,365.0,,,1250.0,,22.6,captivity,small,acceptable,,,1.931,1030.3,307.15
2243,2258,Animalia,Chordata,Mammalia,Monotremata,Tachyglossidae,Tachyglossus,aculeatus,Short-beaked echidna,548.0,548.0,22.0,200.0,1.0,,730.0,0.379,400.0,3500.0,0.013000000000000001,49.5,captivity,medium,acceptable,,,2.327,2909.0,303.85
2244,2259,Animalia,Chordata,Mammalia,Monotremata,Tachyglossidae,Zaglossus,bruijni,Long-nosed echidna,,,10.0,152.0,1.0,,,,400.0,7500.0,,41.2,captivity,tiny,acceptable,,,6.492999999999999,11848.6,303.95
2245,2260,Animalia,Chordata,Mammalia,Notoryctemorphia,Notoryctidae,Notoryctes,typhlops,Southern marsupial mole,,,,,1.0,,,,,53.25,,,unknown,small,low,,,,,
2246,2261,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Echymipera,kalubu,New Guinea spiny bandicoot,,,13.0,,2.1,,120.0,,,650.0,,,unknown,small,low,,,,,308.15
2247,2262,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Echymipera,rufescens,Long-nosed echymipera,,,,,2.2,,,,,1250.0,,3.1,captivity,small,acceptable,,,2.255,886.6,308.05
2248,2263,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Isoodon,auratus,Golden bandicoot,,,12.0,,2.6,,,,,485.0,,6.7,captivity,tiny,acceptable,,,0.8370000000000001,428.0,306.95
2249,2264,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Isoodon,macrourus,Northern brown bandicoot,122.0,200.0,12.0,60.0,4.0,2.7,58.0,0.1883,100.0,1600.0,0.0145,6.8,captivity,small,acceptable,,,3.202,1551.0,309.05
2250,2265,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Isoodon,obesulus,Southern brown bandicoot,210.0,,15.0,62.0,2.73,2.2,140.0,0.35,125.0,700.0,0.0135,6.5,captivity,small,acceptable,,,1.238,717.0,307.05
2251,2266,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Perameles,bougainville,Western barred bandicoot,120.0,,12.0,,1.8,,,,100.0,226.0,,5.8,captivity,small,acceptable,,,,,
2252,2267,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Perameles,gunnii,Eastern barred bandicoot,91.0,152.0,12.0,60.0,2.0,3.8,65.0,0.25,136.7,766.0,0.0142,6.1,captivity,medium,acceptable,,,1.902,695.0,308.35
2253,2268,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Perameles,nasuta,Long-nosed bandicoot,135.0,,12.0,66.0,2.7,,53.0,0.245,150.0,859.0,,5.6,captivity,small,acceptable,,,1.7630000000000001,645.0,309.25
2254,2269,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Peroryctes,raffrayana,Raffray's bandicoot,90.0,150.0,,,3.0,,,,,675.0,,3.2,captivity,small,questionable,,,,,
2255,2270,Animalia,Chordata,Mammalia,Peramelemorphia,Thylacomyidae,Macrotis,lagotis,Rabbit-bandicoot or bilby,150.0,,17.0,110.0,2.0,4.0,175.0,,,1300.0,,9.6,captivity,medium,acceptable,,,2.4,1245.5,308.15
2256,2271,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,asinus,African wild ass,708.0,1005.0,359.0,,1.0,,,30000.0,,164998.0,,47.0,captivity,large,high,,,164.92,177500.0,
2257,2272,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,caballus,Horse,914.0,973.0,337.0,274.0,1.0,1.0,548.0,38000.0,,300000.0,,57.0,captivity,large,high,0.0002,4.0,,,311.45
2258,2273,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,grevyi,Grevy's zebra,1278.0,1461.0,406.0,259.0,1.0,0.5,575.0,40000.0,,384000.0,,31.0,captivity,large,high,,,,,
2259,2274,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,hemionus,Kulan,1157.0,1187.0,339.0,456.0,1.0,0.7,458.0,,,230000.0,,31.6,captivity,medium,acceptable,,,,,
2260,2275,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,kiang,Kiang,,,299.0,,,0.5,,,,275000.0,,30.1,captivity,medium,acceptable,,,,,
2261,2276,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,quagga,Quagga,900.0,900.0,365.0,395.0,1.0,0.6,556.0,32000.0,205000.0,280000.0,0.0038,38.0,captivity,large,high,,,,,
2262,2277,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,zebra,Mountain zebra,1009.0,1279.0,362.0,304.0,1.0,0.6,670.0,35000.0,,296000.0,,33.2,captivity,medium,acceptable,,,,,
2263,2278,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,White rhinoceros,1643.0,1643.0,515.0,365.0,1.0,0.4,1009.0,52500.0,,2175000.0,,45.0,captivity,large,high,,,,,
2264,2279,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Dicerorhinus,sumatrensis,Sumatran rhinoceros,2738.0,,236.0,502.0,1.0,0.3,1278.0,23000.0,,1260000.0,,32.8,captivity,tiny,acceptable,,,,,
2265,2280,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,bicornis,Black rhinoceros,1826.0,2254.0,474.0,634.0,1.0,0.4,1059.0,36500.0,,1100000.0,0.0033,49.0,captivity,medium,acceptable,,,,,312.15
2266,2281,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,sondaicus,Javan rhinoceros,1278.0,,502.0,548.0,1.0,0.3,,,,1750000.0,,,unknown,small,low,,,,,
2267,2282,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,unicornis,Indian rhinoceros,1678.0,2557.0,479.0,456.0,1.0,0.3,850.0,58000.0,885812.0,1602330.0,,43.5,captivity,medium,acceptable,,,,,310.55
2268,2283,Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,Acrocodia,indica,Malayan tapir,1095.0,1095.0,392.0,183.0,1.0,0.5,730.0,6500.0,,250000.0,,36.5,captivity,medium,acceptable,,,,,309.95
2269,2284,Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirella,bairdii,Baird's tapir,,,401.0,,1.0,0.7,,9400.0,,300000.0,,29.6,captivity,medium,acceptable,,,,,
2270,2285,Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirus,pinchaque,Mountain tapir,,,398.0,,1.0,,,4270.0,,148950.0,,28.5,captivity,small,acceptable,,,,,
2271,2286,Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirus,terrestris,Brazilian tapir,1095.0,1095.0,398.0,289.0,1.0,,,6000.0,86260.0,250000.0,,39.6,captivity,large,high,,,,,309.65
2272,2287,Animalia,Chordata,Mammalia,Pholidota,Manidae,Manis,crassicaudata,Indian pangolin,,,67.0,,1.0,1.0,365.0,350.0,,13014.7,,,unknown,small,low,,,6.922999999999999,15910.0,306.55
2273,2288,Animalia,Chordata,Mammalia,Pholidota,Manidae,Manis,pentadactyla,Chinese pangolin,,,,87.0,1.0,1.0,365.0,92.5,,2350.0,,,unknown,tiny,low,,,3.727,3637.5,306.55
2274,2289,Animalia,Chordata,Mammalia,Pilosa,Bradypodidae,Bradypus,torquatus,Maned three-toed sloth,,,150.0,,1.0,,,,,3875.0,,,unknown,small,low,,,,,
2275,2290,Animalia,Chordata,Mammalia,Pilosa,Bradypodidae,Bradypus,tridactylus,Pale-throated three-toed sloth,1642.0,1095.0,141.0,38.0,1.0,1.0,,179.0,,4250.0,,,unknown,small,low,,,,,
2276,2291,Animalia,Chordata,Mammalia,Pilosa,Cyclopedidae,Cyclopes,didactylus,Silky anteater,,,135.0,152.0,1.0,,,,,266.0,,,unknown,tiny,low,,,0.636,240.0,306.15
2277,2292,Animalia,Chordata,Mammalia,Pilosa,Megalonychidae,Choloepus,didactylus,Southern two-toed sloth,1279.0,1644.0,279.0,152.0,1.0,1.0,616.0,356.0,,6250.0,0.002,36.8,captivity,medium,acceptable,,,,,
2278,2293,Animalia,Chordata,Mammalia,Pilosa,Megalonychidae,Choloepus,hoffmanni,Hoffmann's two-toed sloth,730.0,1095.0,350.0,21.0,1.0,0.7,456.0,402.0,,6250.0,,41.0,captivity,medium,acceptable,,,3.891,4005.2,307.55
2279,2294,Animalia,Chordata,Mammalia,Pilosa,Myrmecophagidae,Myrmecophaga,tridactyla,Giant anteater,1186.0,1186.0,184.0,56.0,1.0,1.2,,1600.0,,28500.0,0.0088,31.0,captivity,medium,acceptable,,,14.543,30600.0,305.65
2280,2295,Animalia,Chordata,Mammalia,Pilosa,Myrmecophagidae,Tamandua,mexicana,Northern tamandua,,,163.0,,,1.0,,,,4500.0,,16.0,captivity,tiny,acceptable,,,5.124,3884.2,305.15
2281,2296,Animalia,Chordata,Mammalia,Pilosa,Myrmecophagidae,Tamandua,tetradactyla,Southern tamandua,365.0,,160.0,,1.0,1.4,,,,4500.0,,19.0,captivity,medium,acceptable,,,5.015,3500.0,306.65
2282,2298,Animalia,Chordata,Mammalia,Primates,Aotidae,Aotus,azarae,Azara's night monkey,,,,234.0,1.0,1.0,365.0,,,1230.0,,30.0,captivity,small,acceptable,,,,,
2283,2299,Animalia,Chordata,Mammalia,Primates,Aotidae,Aotus,lemurinus,Lemurine night monkey,,,135.0,76.0,1.0,1.0,365.0,98.0,,874.0,,33.8,captivity,medium,acceptable,,,,,
2284,2300,Animalia,Chordata,Mammalia,Primates,Aotidae,Aotus,trivirgatus,Northern night monkey,821.0,730.0,142.0,77.0,1.0,1.4,269.0,88.5,360.0,800.0,,30.1,captivity,medium,acceptable,,,2.499,914.5,311.15
2285,2301,Animalia,Chordata,Mammalia,Primates,Aotidae,Aotus,vociferans,Noisy night monkey,,,,,1.0,,,,,873.0,,22.1,captivity,small,acceptable,,,,,
2286,2302,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,caraya,Black howler monkey,1167.0,928.0,187.0,195.0,1.0,1.0,338.0,187.5,,5462.5,,32.4,captivity,medium,acceptable,,,,,
2287,2303,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,guariba,Brown howler monkey,,,,,,,,,,5540.0,,,unknown,small,low,,,,,
2288,2304,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,palliata,Mantled howler monkey,1095.0,1278.0,186.0,433.0,1.0,0.6,384.0,409.0,1100.0,7000.0,,24.0,captivity,small,acceptable,,,11.464,4670.0,309.15
2289,2305,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,pigra,Mexican black howler monkey,,,187.0,,1.0,,,480.0,,7000.0,,,unknown,small,low,,,,,
2290,2306,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,sara,Bolivian red howler monkey,,,,,,,,,,6611.0,,,unknown,tiny,low,,,,,
2291,2307,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,seniculus,Red howler monkey,1475.0,,190.0,372.0,1.0,0.7,424.0,263.0,,6543.2,,25.0,captivity,small,acceptable,,,,,
2292,2308,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles,belzebuth,White-bellied spider monkey,1461.0,1826.0,184.0,,1.0,0.3,1095.0,,,7535.0,,37.0,captivity,small,acceptable,,,,,
2293,2309,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles,chamek,Chamek spider monkey,,,,,,,,,,6000.0,,42.8,captivity,medium,acceptable,,,,,
2294,2310,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles,fusciceps,Brown-headed spider monkey,1515.0,1826.0,227.0,410.0,1.0,0.5,882.0,400.0,,7000.0,,46.0,captivity,large,acceptable,,,,,
2295,2311,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles,geoffroyi,Central American spider monkey,1825.0,1826.0,232.0,821.0,1.0,0.3,970.0,426.0,2000.0,7267.5,,47.1,captivity,large,acceptable,,,,,
2296,2312,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles,marginatus,White-whiskered spider monkey,,,,,,,,,,6000.0,,44.0,captivity,tiny,acceptable,,,,,
2297,2313,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles,paniscus,Black spider monkey,1516.0,1280.0,229.0,795.0,1.0,0.5,1072.0,452.5,3790.0,7887.5,,46.0,captivity,medium,acceptable,,,,,
2298,2314,Animalia,Chordata,Mammalia,Primates,Atelidae,Brachyteles,arachnoides,Woolly spider monkey or muriqui,2738.0,,232.0,662.0,1.0,0.3,730.0,,,11170.0,,40.0,wild,medium,acceptable,,,,,
2299,2315,Animalia,Chordata,Mammalia,Primates,Atelidae,Lagothrix,lagothricha,Humboldt's woolly monkey,2555.0,1520.0,223.0,352.0,1.0,0.5,639.0,300.0,,7650.0,,32.0,captivity,medium,acceptable,,,,,
2300,2316,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Callimico,goeldii,Goeldi's monkey,365.0,395.0,153.0,77.0,1.0,1.2,179.0,48.15,215.0,555.0,0.0097,22.2,captivity,large,high,,,,,309.15
2301,2317,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Callithrix,geoffroyi,Geoffroy's marmoset,,,,,,,,,,342.0,,17.6,captivity,large,acceptable,,,,,
2302,2318,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Callithrix,jacchus,White-tufted-ear marmoset,477.0,382.0,144.0,62.0,2.0,2.0,169.0,26.5,86.67,255.2,0.0172,22.8,captivity,large,high,,,0.848,190.0,309.15
2303,2319,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Callithrix,kuhlii,Weid's black-tufted-ear marmoset,,,,,,,,,,342.0,,20.0,captivity,medium,acceptable,,,,,
2304,2320,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Callithrix,penicillata,Black-pencilled marmoset,,,,,2.0,,,,,307.0,,15.4,captivity,medium,acceptable,,,,,
2305,2321,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Cebuella,pygmaea,Pygmy marmoset,684.0,638.0,125.0,91.0,2.0,,171.0,16.0,70.0,124.0,,18.6,captivity,large,high,,,0.599,110.7,308.35
2306,2322,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Leontocebus,fuscicollis,Saddlebacked tamarin,546.0,730.0,147.0,91.0,1.8,1.0,202.0,39.9,,456.5,,24.9,captivity,medium,acceptable,,,,,
2307,2323,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Leontocebus,nigricollis,Black-mantled tamarin,850.0,,140.0,82.0,1.8,2.9,251.0,43.5,175.0,519.2,0.0079,20.2,captivity,tiny,acceptable,,,,,
2308,2324,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Leontopithecus,chrysomelas,Golden-headed lion tamarin,,,,,2.0,,,,,535.0,,21.3,captivity,large,acceptable,,,,,
2309,2325,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Leontopithecus,chrysopygus,Golden-rumped lion tamarin,,,,,,,,,,570.0,,17.9,captivity,medium,questionable,,,,,
2310,2326,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Leontopithecus,rosalia,Golden lion tamarin,547.0,730.0,128.0,131.0,2.0,1.8,189.0,55.3,165.0,654.5,0.0077,31.6,captivity,large,high,,,,,
2311,2327,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Mico,argentatus,Silvery marmoset,304.0,334.0,144.0,120.0,2.0,3.2,213.0,35.1,,343.2,0.0059,16.5,captivity,medium,acceptable,,,,,
2312,2328,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Mico,humeralifer,Tassel-eared marmoset,304.0,334.0,144.0,,2.0,,,34.5,,355.8,,15.0,captivity,small,acceptable,,,,,
2313,2329,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,bicolor,Brazilian bare-faced tamarin,,,160.0,,1.63,,,,,495.8,,19.0,captivity,medium,acceptable,,,,,
2314,2330,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,geoffroyi,Geoffroy's tamarin,548.0,,142.0,56.0,2.0,,241.0,46.03,,499.3,,20.5,captivity,medium,acceptable,,,1.305,225.0,
2315,2331,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,imperator,Emperor tamarin,546.0,730.0,145.0,,2.0,,,47.0,,518.5,,23.7,captivity,large,high,,,,,
2316,2332,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,labiatus,Red-chested mustached tamarin,,,147.0,227.0,1.9,1.2,299.0,42.33,,501.3,,20.5,captivity,medium,acceptable,,,,,
2317,2333,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,leucopus,Silvery-brown bare-face tamarin,,,142.0,,2.0,,,44.0,,490.0,,15.2,captivity,small,acceptable,,,,,
2318,2334,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,midas,Midas tamarin,608.0,,127.0,71.0,2.0,1.4,207.0,40.0,,553.8,,21.0,captivity,large,high,,,,,
2319,2335,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,mystax,Black-chested mustached tamarin,486.0,540.0,145.0,171.0,2.0,,168.0,46.9,,543.5,,20.0,captivity,small,acceptable,,,,,
2320,2336,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,oedipus,Cotton-top tamarin,548.0,550.0,178.0,52.0,1.9,1.0,244.0,39.36,105.0,445.5,0.0102,26.2,captivity,large,high,,,,,
2321,2338,Animalia,Chordata,Mammalia,Primates,Cebidae,Cebus,albifrons,White-fronted capuchin,1310.0,1310.0,158.0,274.0,1.0,0.7,547.0,233.0,,2467.5,,40.4,captivity,medium,acceptable,,,,,
2322,2339,Animalia,Chordata,Mammalia,Primates,Cebidae,Cebus,capucinus,White-faced capuchin,1505.0,2921.0,162.0,521.0,1.0,0.5,803.0,230.0,1350.0,2655.0,,54.0,captivity,medium,acceptable,,,,,
2323,2340,Animalia,Chordata,Mammalia,Primates,Cebidae,Cebus,olivaceus,Weeping capuchin,2190.0,,162.0,740.0,1.0,0.5,792.0,,,2552.5,,47.0,captivity,medium,acceptable,,,,,
2324,2341,Animalia,Chordata,Mammalia,Primates,Cebidae,Saimiri,boliviensis,Bolivian squirrel monkey,,,158.0,,1.0,,,,,615.0,,30.3,captivity,large,acceptable,,,,,
2325,2342,Animalia,Chordata,Mammalia,Primates,Cebidae,Saimiri,oerstedii,Central American squirrel monkey,,,161.0,,1.0,,,,,788.5,,,unknown,tiny,low,,,,,
